Java程序员,珠海科亚信息技术有限公司,4.5-6千/月,08-02,外资（非欧美）,50-150人,计算机软件,,珠海|2年经验|本科|招20人,【,珠海市唐家湾镇哈工大路1号-1-C203,"CoreSolutionsisaprivatelyheldinformationtechnologyandservicesfirmspecializinginglobalsourcingsolutions.CoreSolutionsistheonlysolutionproviderthathelpsbothbuyersandsellersstreamlinebusinessprocessesacrosstheend-to-endsourcinglifecycle-fromproductdevelopmenttocosting,fromQAtoQC,fromordertopayment.CoreSolutionsoffersapowerfulsetofelectronicandweb-basesolutionsthatdramaticallyimproveProductLifecycleManagement(PLM),GlobalSourcingManagement,GlobalVendorAutomationandSupplyChainCollaboration.Leadingretailers,wholesalers,brandmanufacturersandthousandsofvendorsaroundtheworlduseCoreSolutions'softwareandservicestocoordinateactivities,synchronizedata,increasevisibilityandeliminatemanualprocesses.CoreSolutionsisbasedinHongKongwithofficesinUSandChina.CoreSolutions'CBXsuiteisthemostpowerfulsetofglobalsourcingsoftwareandservicestohelpretailers,wholesalersandbrandedmanufacturersstreamlineProductDevelopment,Sourcing,OrderManagement,ProductionManagement,QualityManagement,LogisticsandFinance.CoreSolutions建立于1995年，在IT咨询顾问和企业软件开发一直保持着领先的地位。现在，以香港为中心，本公司在美国，上海，珠海等地方建立起了分公司。我们的团队，专注于企业软件的开发（我们的旗舰产品iDEX/CBX－企业信息交换平台）并且为各领域的领头企业提供专业的解决方案，如SCM，ERP，BusinessIntelligence等。我们的客户包括渣打银行，汇丰银行，欧尚,家乐福,CloesGroup,SwireBeverages，SanMiguel，CrownWorldwide，LimitedBrands，等其他著名企业。于2003年在中国珠海投资成立了珠海科亚信息技术有限公司，注册资金为350万港币，座落于珠海的高新区--珠海新经济资源开发港。现在，我们珠海的技术团队具有一些非常有挑战性的工作机会给愿意接受挑战的计算机专业人才。我们非常欢迎聪明，有强烈的求知欲，高忠诚度，和不成功决不罢休的态度的计算机专业人才来应聘。应聘者的资料会被严格的保密。公司网站:http://www.coresolutions.com[公司的优势及提供的福利]：1.外企灵活、开放的管理模式，民主、人性化的制度及乐于分享技术的企业文化；2.良好的培训及发展空间，让每位员工能发挥所长；3.每天八小时，五天工作制；4.至少一年一次的提薪机会；5.从入职当月起办理社保（养老、医疗、失业、工伤、生育）；6.工作满一周年，享有带薪假期10天；7.其他节假日按国家规定执行；8.可接收人事档案(公司代缴档案费)；公司有党支部可接收党员关系；9.符合条件者可申请入公司集体户口；10.如有需要可申请安排员工宿舍；"
网站PHP程序员,东莞莞城美利汇峰口腔门诊部有限公司,0.8-1万/月,07-27,民营公司,50-150人,医疗/护理/卫生,节日福利 专业培训 加班补贴 绩效奖金 带薪年假 弹性工作 包住宿 五险 月休六天 日工作七小时,东莞-莞城区|3-4年经验|大专|招若干人,"任职资格：1、计算机专业学历（如果精通建站，可以放宽其他专业）；2、实际php建站工作经验1年以上，熟悉html,javascript；PHP+MYSQL服务器配置等；精通织梦DEDECMS建站（其他开源cms也可以），熟悉主流的CMS，熟悉css样式、熟悉div+css网站布局，掌握当前主流浏览器的兼容性问题；会简单的页面制作能力，对代码seo优化具有一定的见解；3、熟悉健康医疗网站建设优先，熟练使用php编程语言，有实际项目经验，可独立完成网站建设。熟悉HTML/CSS,能完全手写html代码并合理布局，规范切图。4、有良好的编程习惯，良好的沟通能力，具有较强的分析、解决问题能力。岗位职责：1、配合企划部制定和实施公司活动的建站计划及专题计划；2、熟知公司文化、产品及相应服务，总体的市场战略以及竞争对手的相关信息，如网站建设定位，建站方向、目标及相关代码优化；3、跟进、确保每次网络项目的设计效果和出品质量；4、负责公司阿里云服务器的管理及维护；兼带维护公司电脑及打印机等管理维护5、微信公众号功能制作，微信营销功能开发，微信小程序商城制作，相关新媒体项目的程序制作6、完成上级交办的临时性工作",汇峰中心E区113/114室美利口腔汇峰门诊,东莞美利口腔位于广东省东莞市旗峰路汇峰中心.是东莞美利集团旗下投资的第二大口腔诊所，傲居东莞核心优越地段，交通便利，环境舒适。是一家集口腔预防/保健/治疗/修复为一体的中高端口腔诊疗机构。门诊总面积达2500㎡，拥有“齿科种植、齿科正畸、美齿修复、综合治疗、儿童齿科”五大中心，全数字化口腔诊疗、全套德国诊疗设备，国际标准级企业人文关怀，致力于打造东莞市一流口腔诊疗科室，是您展现口腔医学风采及学习深造的***平台。现高薪诚聘招纳贤士.欢迎有志之士加入我们一起共创辉煌，将美利口腔打造成东莞优质连锁品牌。福利待遇：高薪+高绩效+五险/包住（小区式公寓楼）晋升调岗+年度旅游/月度聚餐/生日会+节假日福利+户外拓展++就诊优惠（包括家属朋友）月休6天（遇法定日再增加，每日工作7.5小时制面试地点:东莞莞城区汇峰中心E区113、114室美利口腔
程序员,南京数聚科技有限公司,0.6-1万/月,07-27,民营公司,50-150人,计算机软件,五险一金 员工旅游 餐饮补贴 定期体检 周末双休 年终奖金 出差补贴 过节福利 带薪年假 绩效奖金,南京-鼓楼区|1年经验|本科|招2人,1.计算机软件类专业，本科以上学位，一年以上工作经验2.熟悉Java语言和J2EE架构，基本掌握Java/J2EE应用编程，熟悉HTML/JavaScript/JQuery等前端编程技术3.熟悉Oracle数据库系统，熟练使用SQL对数据库进行操作和编程4.良好的沟通和文档组织能力5.熟悉税务行业及具有税务行业应用系统开发经验者优先,汉中路108号金轮大厦19A室,南京数聚科技有限公司成立于2003年3月，公司致力于数据应用领域的软件平台研发、项目实施及咨询服务。经过多年的发展，公司形成了数据应用领域的一系列系统工具平台产品，同时基于公司自身的平台产品，围绕数据应用和商业智能领域，面向不同行业进行产品的推广应用及行业解决方案的研制开发；目前公司的客户群遍及政府、流通、法院等多个行业，尤其是在税务行业，形成了一系列的税务后台应用解决方案。“数据应用支撑平台”作为公司自主研发的数据统计及分析领域的平台产品，由查询分析平台、实体展现平台、报表管理平台、数据加工平台、门户集成平台、元数据管理平台六个工具软件组成，能够满足数据应用领域各种应用系统的设计规划和建设要求，包括报表管理、查询分析、数据仓库及各种业务主题应用系统等。数聚通用开发平台（DBView）面向传统应用（OLTP系统），提供J2EE应用架构基础上的操作型系统快速定制开发平台，能够***限度地降低开发人员对BSS模式及J2EE技术架构下各种编程语言的要求，从而使应用开发人员专注于业务领域和功能设计，降低应用开发的技术难度，提高应用开发及系统后续运维的效率。
程序员鼓励师,武汉氪细胞网络技术有限公司,0.5-1.2万/月,07-27,民营公司,150-500人,互联网/电子商务,五险一金 员工旅游 交通补贴 餐饮补贴 绩效奖金,武汉|无需经验|大专|招1人,1.在程序猿技术宕机、情绪乱码的时候，为他加油打气，能引导至其灵光乍现则更佳。2.需要懂得赞美和鼓励程序员，平抚工程师、程序员等开发同事之间的心灵距离，清理程序员的交流障碍，将一个庞大繁长的开发项目组锻炼成一支能在恶劣条件下拿到目标，彼此紧密无缝的特种兵小队，3.善于发现身边每一位工程师、程序员与生俱来的萌点，擅长倾听和沟通；4.需要有超强的适应能力与应变能力，在程序员和工程师需要帮助时及时协调资源予以支持，在他们情绪发生变化时，及时给予安慰与鼓励；5.招（吸）聘（引）优秀程序员入职，成功将其驯服，断绝程序员有离职和倦怠的稍许想法；任职资格：1、善于倾听（听不听得懂没关系），能忍受程序猿死宅无法交流的性格；2、男女不限，微笑常在人见人爱；3.投递简历时请附带个人近期素颜照，照片PS得无法识别的请勿发送。,光谷大道现代世贸中心C座25楼,武汉氪细胞网络技术有限公司成立于2017年5月12日，总部位于湖北省武汉市。团队成立到现在十分稳定，目前已获得蓝象资本、天使湾、经纬中国、好未来等众多投资机构投资，目前估值8500W美金。团队从成立到现在十分稳定，并一直保持高速发展。武汉氪细胞网络技术有限公司自主研发、运营Timing、猩猩点灯等APP，当今社会人们对知识的渴求只会逐步加深，个人在学习生活中，对奋斗、学习的场景需求会不断增强，Timing学习社区APP，以学习计时功能和付费学习服务为基础，将有着学习需求的人聚集在一起，搭建学习陪伴的平台同时向用户提供多元的“学习”服务，猩猩点灯APP则可以让能够“发光发热”的“学习达人”向有学习需求的人传播“光”和“热”。未来公司一系列战略产品将持续致力于搭建以“学习”为场景的新型生态系统，连接不同年龄阶段的学习用户，基于用户需求打磨产品功能，优化用户的学习生活体验，致力成为教育界的”支付宝“。公司链接http://www.timing360.com/
网络程序员,广州市顺力网络科技有限公司,0.8-1万/月,07-27,民营公司,少于50人,互联网/电子商务,补充公积金 补充医疗保险 专业培训 通讯补贴 员工旅游,广州-天河区|3-4年经验|大专|招若干人,"岗位职责:1.负责云计算产品网络领域相关的架构设计,并亲自参与核心代码的开发；2.本领域业界新技术的跟踪研究和引入；3.与研发队伍一起设计和开发工作。任职要求:1.三年相关领域开发经验,有数据中心网络方案设计经验或者互联网公司网络设计经验；2.有丰富的虚拟网络软件研发和调试经验,参与或主导过相关产品的研发；3.精通二层交换和三层路由所涉及的主要网络协议;熟悉OSPF/BGP/ISIS/MPLS等经典网络技术原理;4.熟悉VxLAN/NVGRE/GRE网络Overylay技术；5.熟悉OpenStackNeutron项目;6.对系统底层技术有浓厚的热情和探索欲望,给开源项目贡献过代码；7.参与过开源SDN项目,熟悉一种主流SDN控制器；8.熟悉各类网络产品(交换机、路由器、防火墙等)的配置和管理。",天河区林和西路167号威尼国际811-812,广州市顺力网络科技有限公司成立于2015年，是国内整合网络营销的先行者，专注于整合利用互联网资源，帮助客户建立网络品牌影响力。结合互联网思维，对于传统企业的品牌重塑，有坚实的基础，开拓互联网结合传统行业人脉圈新模式。主要业务包括：品牌策划、平台建设、广告投放、软件开发、应用咨询等。广州市顺力科技成立以来不断累积经验，获得众多客户好评，长久友好合作客户逾三百家，其中包括DFS环球免税集团、华南美国商会、真功夫、美赞臣、合生创展、广州市越秀区总商会等名企及事业单位。2015年与广州市越秀区总商会建立战略联盟关系，共同成立“聚越优选”品牌编辑部，通过手机互动展示平台通过总商会渠道进行推广宣传，面向区内各行业单位成员推广，整合区内的品牌和资源，让众人目光聚焦企业的品牌。2016-2017年顺力网络科技成为“广府庙会”美食区指定网络服务商。2017年广府庙会期间联合庄臣美食坊，举办“我最喜爱的名鸡评比”网络活动，成为城中热点。2017年8月帮助胜佳超市实行“自助超市收银系统”的实施推广及品牌升级，成为广州热门话题，各大主流媒体头条专题报道。自助收银系统实施以来，已接待客流300万人次，获得一致好评。顺力网络科技拥有专业的营销策划团队，庞大的网络推广资源、丰富的网络平台建设经验、良好的媒介关系和众多成功品牌推广案例。项目从策划到执行的每一个步骤都能专人专管、紧密结合，让品牌贴近目标市场，更利于塑造强势品牌。
网站程序员,深圳河图建设集团有限公司,1-1.5万/月,07-27,民营公司,150-500人,建筑/建材/工程,带薪年假 节日福利 绩效奖金 五险 提供午餐 员工旅游 定期体检,深圳-福田区|2年经验|大专|招2人,岗位职责：1、研发公司自主项目；2、协助其它项目前端页面联调相关开发；任职要求：1、两年以上网站开发经验；2、有全栈研发经验优先。3、至少精通Javascript，熟悉CMD或AMD模块化开发标准，能独立封装业务模块；4、至少精通vue.js、angular、react随便一种前端框架；5、精通前端页面html5+css3的优先；6、至少掌握一种数据库的简单操作；mysql或mssql。7、学习能力强，拥有优秀的逻辑思维能力；8、认真负责，时间观念强，具备团队合作精神。,滨河大道与益田路交界处3008号皇都广场C座8楼,深圳河图建设集团简介深圳河图建设集团(以下简称：河图集团)是以深圳河图建设集团有限公司为母公司，以工程建设为主要联结纽带的母子公司为主体，以集团章程为共同规范的企业法人联合体。“河图”乃东方宝典、中华文明之源，取名河图建设寓意深刻、志存高远。河图集团经营覆盖工程造价、招标代理、工程监理、建设工程施工、工程信息化、房地产开发等业务。集团注册资金22700万元人民币，拥有五家全资子公司。集团现有主要管理人员和技术人员333人，其中国家注册建造师35名、注册造价师18名、注册监理工程师46名、具有高级职称19人，中级职称169人，拥有一批经验丰富、技术过硬的工程管理人才，建立了高效协作的管理团队，公司的综合实力和竞争力不断提高。河图集团秉承“以人为本、务实、创新、高效”的核心理念，恪守“深化管理、夯实基础、转变思路、严格考核”的管理方针，稳健经营，不断在建筑市场领域拓展和延伸。
Unity 3D 程序员,上海良晓信息科技有限公司,0.8-1万/月,07-27,民营公司,少于50人,计算机软件,五险一金 员工旅游 年终奖金 弹性工作,上海-普陀区|1年经验|大专|招若干人,1、确保项目开发按时完成，并且达到公司的质量和客户需求；2、能独立分析客户需求，与团队沟通，组织并能完成制定开发需求，提供解决方案；3、要求英文良好，能独立检索阅读英文资料。任职要求：1、熟悉Unity3D的开发，有相关的开发经验；2、有良好的3D图形学基础，熟悉3D技术和相关算法；3、熟悉C#和JavaScript脚本；4、熟悉针对IOS和Android平台的U3D优化；5、有良好的C++程序开发基础。,上海市普陀区莫干山路50号18-103,Wonderlabs由一群极客爱好者、设计师、程序员、艺术家、工程师、项目经理组成的多元化创意公司，专注于新媒体和互动方面的技术的研发、艺术内容创作、交互装置设计制作。我们倾听客户需求，整合技术、创意，视觉和故事化沟通，为客户提供技术创意解决方案，创造极具创新和富有感染力的体验式营销，帮助每个品牌与消费者建立深厚的情感联系。一直以来，Wonderlabs秉承与各跨学科专业人士紧密沟通的理念，以在每次品牌任务中不断推陈出新。我们的服务范围遍布全球各类品牌环境，从大型发布会、展览展会、品牌活动到店内展示。公司网址：www.wonderlabsstudio.com
自动化程序员,武汉光明乳品有限公司,6-8千/月,07-28,政府机关,,政府/公共事业,,武汉|大专|招2人,岗位职责：1、自动化设备的安装、调试与维修；2、设备日常维护保养；3、新设备的导入调试；4、参与TPM世界级制造项目。任职要求：1、本科及以上学历，电气自动化相关专业；2、熟悉西门子，三菱，AB主流PLC，精通触摸屏的组态，如西门子MP277，昆仑通态MCGS，威纶MT，欧姆龙NT等，可独立进行选型、电气原理图设计及接线；3、动手能力较强，能根据工艺的改造、优化，进行西门子S7-200/300，三菱FX、Q系列，欧姆龙CPM1系列等程序的修改；4、熟悉电气自动化，电气安全知识，了解伺服系统、气缸、管道阀门系统、电机等的原理；,5、具有较强的沟通表达能力。,武汉光明乳品有限公司诚聘
.NET C# 软件程序员,天行健信息技术（深圳）有限公司,4-6千/月,07-28,外资（非欧美）,少于50人,计算机软件,五险一金 绩效奖金 专业培训 员工旅游,深圳-龙华新区|在校生/应届生|大专|招5人,,龙华地铁站，和平路中环路交界，青年城邦园,天行健信息技术（深圳）有限公司是一家专业的人力资源管理软件咨询、实施和开发企业。我们为客户提供最优质的人力资源管理系统（“TXJHRMS”）和相关服务。提升客户的人力资源管理效率，让客户实现管理的价值，提升企业的竞争优势。为企业的决策制定和目标达成提供最准确、最迅速、最可靠的人力资源信息支持，让客户获得好的投资回报。天行健为客户提供的人力资源管理系统（TXJHRMS）功能包括组织架构、人事信息管理、薪酬计算、休假管理、考勤与工时管理、员工与经理自助系统、流程管理、绩效管理、培训管理、ERP人事数据接口和ERP财务数据接口等功能。为企业提供全面的人力资源管理功能与服务。欢迎具有相关软件系统经验和发展兴趣的有识之士加入我们公司。有意者，请寄简历到recruit@TXJ-IT.com。
PHP程序员  双休+五险一金,武汉能迈科实业有限公司,4-8千/月,07-28,合资,50-150人,贸易/进出口,周末双休 带薪年假 五险一金 全勤奖 节日福利 专业培训 交通补贴 餐饮补贴 地铁直达 购车购房补贴,武汉-东西湖区|2年经验|大专|招1人,1、熟练使用PHP主流网站编程语言及架构，并可以单独完成编写；2、精通MySQL数据库或者其他数据库，具有数据库的性能优化、查询优化和存储优化经验；3、熟悉主流的PHP开源程序，如：dedecms、discuz、phpcms、wordpress等开源系统，有二次开发的经验；4、会制作前端网页，懂DIV+CSS；5、了解操作系统，熟悉WEB、FTP、MAIL服务器的架设；6、有一年以上相关经验及能独立完成站点，了解一些ASP语言者优先考虑1、薪资：4k—8k五险一金2、工作时间：9:00—18:00周末双休国家法定节假日休3、带薪年假：凡工作满一年者，可按国家规定享受五天带薪年假4、员工福利：年节礼品、每年不定期拓展活动、集体旅游、优秀员工可享免费出国游。,武汉客厅,"公司成立于2012年2月20日，地处有九省通衢之美称的江城武汉，公司致力于食品添加剂，香精香料，医药原料药及中间体等有机化工类产品的经营销售和研发生产。公司始终坚持“质量为先，信誉为重，管理为本，服务为诚”的管理理念，严把质量关口，坚守口碑信誉，开拓进取，务实创新，为以后的发展描绘了宏伟蓝图。公司已通过ISO9001质量管理体系认证，并依托自主和高校联合开发的理念，与武汉各大高校、科研机构有深入的合作关系。公司拥有一批执着和睿智的销售精英，专业的科研团队和精干的管理人员，并搭建有内贸和外贸两大销售平台，业绩不断攀升。公司也由单一的销售部门发展为组织架构健全，上下游关系稳固的内外贸相结合的中型贸易公司，为实现贸易到实业的跨越奠定了坚实基础。薪资福利：固定工资：高基本工资+高额度提成浮动奖励：年底双薪＋高额年终奖＋总经理特别奖五险一金：社会保险+公积金休假福利：双休+法定节假日+带薪年假公司福利：生日聚会,户外拓展,集体出国旅游，年会抽奖。公司培训：入职集训，业务技能培训，储备干部培训，管理干部外训。在能迈科，你不仅可以挣到钱，能力也会不断成长，受益终身。其他福利：提供住宿，工作餐补贴，下午茶，节日福利（女神节、劳动节、端午节、中秋节、春节等法定节假日都有相应的红包和礼品）。职业规划：公司注重员工能力增长的同时，为员工制定规划了完备的职业路线。技能晋升：业务助理——初级业务员——业务员——高级业务员——资深业务员——业务专家管理晋升：业务助理——初级业务员——业务员——业务主管——业务经理——业务总监在能迈科，没有尔虞我诈，没有勾心斗角；在能迈科，高收入不是梦，强能力不是梦；在能迈科，收获知识，收获友情；不管职场小白，还是职场大拿，选择能迈科，一定没错。"
PHP程序员,东莞市南星电子有限公司,0.8-1万/月,07-28,民营公司,500-1000人,电子技术/半导体/集成电路,带薪年假 五险一金 包吃 包三餐 包住宿 餐饮补贴 绩效奖金,东莞-南城区|2年经验|本科|招2人,1、大专或以上学历，计算机或相关专业；2、2年以上PHP开发经验，具有良好的php基础，熟悉熟悉laravel，yii，thinkphp，CI或其他开源框架；3、精通PHP+MYSQL编程，熟练使用html、Javascrīpt、Ajax以及CSS编写；4、熟悉linux环境，熟悉LAMP结构；5、熟悉MYSQL数据库开发、配置、维护、性能优化；6、具有MySQL索引优化、查询优化和存储优化经验方面的经验，要求随时随地贯彻最优化开发的思想；7、必须拥有良好的代码习惯，要求结构清晰，命名规范，逻辑性强，代码冗余率低；8、有撰写设计文档的习惯，有团队开发经验；,黄金路1号东莞天安数码城F区1栋2104,东莞市南星电子有限公司成立于2006年9月21日，位于广东省东莞市沙田镇，是一家国家高新技术企业，专业从事电子信息、无线通信以及光电信息产品的研发、生产和销售。目前公司注册资金1000万人民币，银行信用等级AAA，被海关评为“A”类企业。公司拥有东莞市科技局认定的“东莞市工程技术中心”和东莞市经信局认定的“东莞市企业技术中心”。目前主导产品包括以下几个系列：1.无线通信系列2.数码成像系列3.激光测距仪系列4.金属探测器系列5.医疗保健美容系列6.智能家居系列7.加热服装系列8.车联网系列9.智能穿戴系列我们注重产品研发投入，设立了研发工程中心，拥有一支实力雄厚的科技研发队伍。研发人员超过60名，并有多名博士、硕士学位获得者。队伍不断探索新领域，不断研究新技术，在无线电、数码成像、激光测距等电子信息和光电子信息领域中有着深入的研究并开发出丰富的产品以满足市场需求。我们有着充足的场地、设备和人员等生产资源，可以自给生产我司研发和销售的各类电子产品。现拥有10000平方米的生产车间，其中有400平方米的无尘光学装配车间和500平方米的无尘SMT车间；拥有约500名职工、10条流水生产线。我们注重质量管理，严格按照ISO9001:2008质量管理体系运作。我们坚持“全员参与，品质***，持续改进，客户满意”的品质方针政策，在已经完善了的质量管理体系基础上仍然不断精益求精。对内，我们愿怀着“分享”的精神与公司所有员工一起分享我们的劳动成果和财富；对外，我们坚持“客户***，品质至上”的经营理念，不断为客户开发和生产优质新产品，并凭借雄厚的技术实力和敬业、创新、服务的精神，为国内外企业客户提供更多ODM和OEM服务。公司与多所国内著名大学合作，本着“以人为本，追求卓越，服务社会”的理念，将为员工提供充分的学习和发展机会。公司坐落东莞市沙田镇民田村成田工业区，拥有良好的生活和工作环境，有职员餐厅、医疗室、卡拉ok娱乐室、阅读室、康体室、蓝球场、羽毛球场、足球场及小卖部等，是集生产、生活、休闲、娱乐于一体的现代化厂区。只要您是一位有理想、有才华、肯上进、有团队合作精神的人，您在这里将大有作为。公司热枕欢迎您的加入！。
C#程序员,安徽金海迪尔信息技术有限责任公司,0.8-1.5万/月,07-28,民营公司,50-150人,电气/电力/水利,周末双休 带薪年假 节日福利 专业培训 餐饮补贴 高温补贴 五险 旅游福利 绩效奖金,合肥|2年经验|本科|招2人,岗位职责：1、参与产品模块需求分析、概要设计和详细设计；2、负责产品模块的代码编写及单元测试；3、负责产品模块开发文档的编写；岗位要求：1、本科及以上，计算机软件、通信等相关专业2、2年以上C#，ASP.net，MVC编程经验；熟悉软件开发专业知识及相关业务流程3、了解EntityFramework或者NHibernate等O/RMapping框架4、熟悉面向对象编程，精通C#对象、接口、委托等基础概念及应用，对设计模式有一定了解。有较为丰富的多线程程序开发经验5、2年以上数据库使用经验，能对SQL语句进行性能优化，有存储过程的编写经验6、熟练使用AJAX，了解extjs等开发框7、熟悉unity技术优先，熟悉.netcore技术优先。,安徽省合肥市高新区望江西路539号鲲鹏国际广场2#101、201,安徽金海迪尔信息技术有限责任公司坐落在合肥市高新区望江西路539号鲲鹏国际广场2#101，是专业从事自动化控制系统及应用软件、电子产品的设计开发、生产和销售的高新技术企业、软件企业。注册资本1005万元，资信等级AAA。企业现有职工65人，全部具有大专以上学历，其中本科以上学历39人，博士2名，硕士8名。企业按照现代企业管理要求，建立了完善的企业管理制度，企业已通过了ISO9001：2008质量管理体系认证。公司自成立以来一直坚持走产、学、研结合的技术创新之路，在依托合肥工业大学和其它研究院所的同时，加强自身研发队伍的建设，不断努力进行产品技术提升，持续进行市场对路的新产品开发。目前公司已拥有一支12人组成的朝气蓬勃的研发队伍，全部具有大学本科以上学历，其中硕士8人，博士2人。公司每年的新产品开发投入经费占企业销售收入的5%以上。2001年以来，企业先后开发了多媒体电视机（显示器）墙数码处理器、金海迪尔汽车客运售票管理系统、金海迪尔水利控制系统、基于指纹识别动态密码系统、车载实时非接触式疲劳驾驶监控系统、闸门开度高性能绝对多圈磁编码器等新产品，其中三项列入了合肥市重点科研计划目、一项列入安徽省科研计划，闸门开度高性能绝对多圈磁编码器还获得了国家科技部中小企业创新基金的支持，安徽省发改委产业化项目的支持，安徽省信息产业厅产业化的支持。2003年起公司发展重心放在水利行业自动化领域，公司利用自身强大的技术支持、全面的产品培训、完善的售后服务、高效的工程管理体系等优势在水利行业取得了良好的业绩。多年以来企业先后承担了治淮、全国四省泵站技改水利自动化建设大型工程。目前已承担完成了阜南县曹台孜闸、治淮工程东淝闸、沙颍河治理工程杨桥闸、沙涡河治理工程涡阳闸、宿州团结闸、淠史杭灌区的罗管闸、横排头闸、渠首红石嘴枢纽工程、安徽省凤凰颈排灌站工程、安徽省驷马山灌区泵站改造工程、安徽省梅山水库防洪调度自动化、宿州市水利防汛抗旱调度信息化等水利工程以及淮北矿业集团的淮水北调的自动化控制工程的建设。公司以优质的服务和精湛技术得到水利部门等的好评。公司在发展过程中积极参与社会公益事业，从2007年起一直资助祁门、阜阳、怀宁三地11名家境贫寒的学生，每年的春节和重大节假日，公司领导都送去学习和生活用品，多年以来一直关心和支持着孩子们的成长。2010年夏天组织了“金海迪尔手牵手爱心夏令营活动”，邀请了三地的妇联带领孩子们来合肥游玩、学习。至2011年底，捐赠的钱、物计8万元；2010年6月通过合肥电视台向贫困大学生捐款6000元。2008年汶川地震发生后，公司在经营有压力的情况下坚持捐款20万元，组织员工捐赠20000元左右，尽绵薄之力，帮助受灾群众。公司自2009年底起，连续三年参加了省希望工程办公室举办的“迎新春爱心慈善晚宴活动”总计捐款7万元。2012年企业董事长顾爱华***被合肥市高新区评为十大公益女企业家。2001年以来，企业先后开发了多媒体电视机（显示器）墙数码处理器、金海迪尔汽车客运售票管理系统、金海迪尔水利控制系统、基于指纹识别动态密码系统、车载实时非接触式疲劳驾驶监控系统、闸门开度高性能绝对多圈磁编码器等新产品，其中三项列入了合肥市重点科研计划目、一项列入安徽省科研计划，闸门开度高性能绝对多圈磁编码器还获得了国家科技部中小企业创新基金的支持，安徽省发改委产业化项目的支持，安徽省信息产业厅产业化的支持。2003年起公司发展重心放在水利行业自动化领域，公司利用自身强大的技术支持、全面的产品培训、完善的售后服务、高效的工程管理体系等优势在水利行业取得了良好的业绩。多年以来企业先后承担了治淮、全国四省泵站技改水利自动化建设大型工程。目前已承担完成了阜南县曹台孜闸、治淮工程东淝闸、沙颍河治理工程杨桥闸、沙涡河治理工程涡阳闸、宿州团结闸、淠史杭灌区的罗管闸、横排头闸、渠首红石嘴枢纽工程、安徽省凤凰颈排灌站工程、安徽省驷马山灌区泵站改造工程、安徽省梅山水库防洪调度自动化、宿州市水利防汛抗旱调度信息化等水利工程以及淮北矿业集团的淮水北调的自动化控制工程的建设。公司以优质的服务和精湛技术得到水利部门等的好评。
PHP开发工程师/PHP程序员,青岛培诺教育科技股份有限公司,0.6-1.2万/月,07-28,上市公司,500-1000人,教育/培训/院校,做五休二 加班补贴 绩效奖金 节日福利 五险一金 专业培训 带薪年假,青岛-崂山区|2年经验|大专|招1人,"岗位职责：1.主要负责公司产品维护，程序的开发，新功能的添加；2.与设计人员以及前端开发协作完成功能开发；3.能独立完成基于PHP的系统模块开发；4.具备良好的编程风格，思维活跃，能够参与整合策划、页面与代码的实现，维护平台，优化平台功能；5.有解决问题、钻研技术的兴趣和能力，善于沟通和表达。任职要求：1、熟练掌握PHP，2年及以上PHP开发经验，熟悉一种以上主流PHP框架，如TP、YII、Laraval、有MVC开发经验。2、熟悉小程序应用开发。3、精通使用HTML、CSS、熟练使用Javascript等前端技术，了解W3C标准,熟悉jQuery框架进行开发。4、熟练使用SQL语言，熟悉MySql数据库，熟悉Mysql原理，调优，锁机制，并发处理。5、具有文档编写能力，面向对象的编程思想，优良的编程风格和习惯；6、良好的编程习惯和良好的沟通能力及执行能力；能较好的完成预定任务，具有较强的分析、具有良好的自学能力和独立解决问题的能力。",株洲路20号海信创智谷2号楼,青岛培诺软件科技有限公司，培诺教育A-Level中心是英国爱德思考试局（Edexcel）在中国大陆开办的培训机构，是东北亚地区***的A-LEVEL考试中心。培诺教育目前已在全国各地开设十一家分支机构，分别是青岛、济南、大连、沈阳、呼和浩特、天津、杭州、宁波、苏州、无锡、太原。各中心负责A-Level课程的教学及考核，面向社会招收初中毕业生、高中在读生及高三毕业生。国内学生可在各分中心当地直接获得A-Level文凭，从而申请英、美、澳、加等150个国家和地区的11000所著名大学（免大学预科、免中介）。培诺教育A-Level中心是全英文授课，并根据学生的水平层次编班授课，其独有的业余制和远程教育目前全国独有，这种方式非常适合那些国内高中课程基础扎实、学有余力的学生，培诺教育各A-Level中心有很多学生都是通过业余或远程教育的学习被牛津、剑桥、帝国理工等世界名校录取的。培诺教育A-Level考试中心自2007年成立以来，各学制在校学生已达千余人，已3300余名学生被世界百强名校录取。
